courseLink,courseName,coursePrice,courseProvider,Purchase
https://www.groupon.co.uk/deals/vizual-coaching-academy-251,Level 3 Personal Trainer Online Course,£29,Vizual Coaching Academy,"1,000+ "
https://www.groupon.co.uk/deals/contempo-learning-12,Novel writing online course,£19,Contempo Learning,90+ 
https://www.groupon.co.uk/deals/claritywills-1-1,Will Writing Service,£19,ClarityWills,"1,000+ "
https://www.groupon.co.uk/deals/caramelo-latin-dance-2-22606878,Four beginners kizomba dance classes for one,£9,Caramelo Latin Dance,190+ 
https://www.groupon.co.uk/deals/online-academies-1221,Personal fitness trainer online course,£19,Online Academies,10+ 
https://www.groupon.co.uk/deals/prime-krav-maga-academy,Three Krav Maga classes,£6,Prime Krav Maga Academy,460+ 
https://www.groupon.co.uk/deals/write-adult-fiction-26,14-module online fiction writing course,£19,Write Fiction Books,"5,000+ "
https://www.groupon.co.uk/deals/actors-training-studio,Introduction to Acting Workshop For One,£12,Actors Training Studio,430+ 
https://www.groupon.co.uk/deals/new-skills-academy-68,Reception diploma,£16,New Skills Academy,100+ 
https://www.groupon.co.uk/deals/new-skills-academy-67,Level 2 teaching assistant online course,£19,New Skills Academy,320+ 
https://www.groupon.co.uk/deals/tefl-graduate-43,Teach English online course,£14,TEFL Graduate,230+ 
https://www.groupon.co.uk/deals/live-online-academy-56,English for beginners online diploma course,£16,Live Online Academy,70+ 
https://www.groupon.co.uk/deals/tefl-uk-1-23237041,150-Hour Advanced TEFL Course,£49,TEFL UK,"1,000+ "
https://www.groupon.co.uk/deals/new-skills-academy-7,"Level 3 admin, PA and secretarial online course",£29,New Skills Academy,"1,000+ "
https://www.groupon.co.uk/deals/city-salsa-6,Four 90-minute beginners salsa classes,£8.95,City Salsa,"1,000+ "
https://www.groupon.co.uk/deals/enjoy-tefl-42,180-hour TEFL online course and a mindfulness online course,£39,Enjoy TEFL,"1,000+ "
https://www.groupon.co.uk/deals/caramelo-latin-dance-1-4,Four beginners' Latin dance classes for one,£9,Caramelo Latin Dance,630+ 
https://www.groupon.co.uk/deals/international-open-academy-1195-1235,120-hour online TEFL course,£29,International Open Academy,60+ 
https://www.groupon.co.uk/deals/alpha-academy-38,Beginners: Spanish online course,£8,Alpha Academy,"1,000+ "
https://www.groupon.co.uk/deals/london-cookery-school-11,For one: dim sum class with a meal and refreshments,£39,London Cookery School,320+ 
https://www.groupon.co.uk/deals/write-story-books-for-children-49,Children's story writing online course,£14,Write Story Books for Children,"10,000+ "
https://www.groupon.co.uk/deals/tefl-graduate-50,120-hour TEFL online course,£39,TEFL Graduate,"1,000+ "
https://www.groupon.co.uk/deals/the-yoga-collective-363,Three-month access to online yoga classes,£5,The Yoga Collective,540+ 
https://www.groupon.co.uk/deals/tefl-fullcircle-201,120-hour accredited TEFL online course with 40-hour teach English online course,£49,TEFL Fullcircle,100+ 
https://www.groupon.co.uk/deals/aviation-experience-7,Weekdays: 30-minute Flight Simulator Experience with One Entry Ticket,£36,Aviation Experience,250+ 
https://www.groupon.co.uk/deals/funky-mambo,Five Salsa dance classes for one,£10,Funky Mambo Dance School,40+ 
https://www.groupon.co.uk/deals/the-smart-school-of-cookery-53,For one: choice of cooking class,£29,The Smart School of Cookery,640+ 
https://www.groupon.co.uk/deals/first-drive-driving-school,One-hour driving lesson,£15,First Drive Driving School,30+ 
https://www.groupon.co.uk/deals/alpha-academy-2,Certificate in British Sign Language level 1 and 2 online course,£16,Alpha Academy,"10,000+ "
https://www.groupon.co.uk/deals/ganache-macaron-7,For one: luxury macaron baking class,£35,Ganache Macaron,50+ 
https://www.groupon.co.uk/deals/e-careers-uk-13,"TV, film, stage and radio scriptwriting online course",£19,E-Careers Lifestyle,50+ 
https://www.groupon.co.uk/deals/online-city-training-68,"Online course in business administration with beginner, intermediate and advanced MS Excel 2013",£29,Online City Training,670+ 
https://www.groupon.co.uk/deals/the-fashion-box-5,Introductory sewing workshop for one person,£21,The Fashion Box,"1,000+ "
